# N 	NAME 	S[cm] 	BetaX1 	AlfaX1 	BetaY1 	AlfaY1 	Teta1/(2*PI) 	BetaX2 	AlfaX2 	BetaY2 	AlfaY2 	Teta2/(2*PI) 	U      	DspX 	DspXp 	DspY 	DspYp 	NuX 	NuY 	-M56[cm]
2557	qTQDD1A16	121069.19	2994.56	-0.645835	444.045	0.0499215	0.166858	129.274	-0.0622192	9797.52	1.85379	0.173942	0.0192344	331.389	0.0868238	-12.7254	0.00111969	3.77274	3.62646	-344.601
2619	qTQFA4A17	124043.53	9402.64	1.77831	242.446	-0.056663	0.219034	690.431	0.114601	3198.86	-0.609533	0.237236	0.0229053	595.551	-0.111945	-8.04892	-0.000580731	3.85817	3.72031	-355.263
2674	qTQDD1A18	127017.88	3144.64	-0.645457	574.042	0.142993	0.310741	200.691	-0.0127905	9155.46	1.81263	0.314147	0.0069623	300.781	0.0176402	-28.129	0.00358417	3.95679	3.80543	-358.98
2737	qTQFA4A19	129992.22	9405.94	1.82823	44.9926	0.0209498	0.366398	240.721	0.0830754	2908.75	-0.59896	0.401795	0.00960723	375.534	-0.0978121	-17.2751	-0.00190866	4.04106	3.91002	-364.698
2799	qTQDD1A21	132969.10	2985.58	-0.592472	24.8852	-0.00657438	0.126751	4.84898	-0.00675837	9135.15	1.70521	0.1883	0.0103439	146.629	-0.00916826	-20.1053	0.00682864	4.14231	3.99948	-369.26
2863	qTQFA4A22	135940.90	9001.27	1.71328	141.826	-0.0776402	0.117287	290.416	0.0110962	3216.59	-0.695593	0.143824	0.0114731	158.82	-0.0391042	0.778105	0.00701717	4.23090	4.09796	-374.381
2926	qTQDD1A23	138915.24	3042.38	-0.660079	733.897	0.125864	0.215758	225.398	-0.0661021	9852.98	1.90965	0.217774	0.00533678	101.166	0.0296229	15.5374	-0.000378856	4.33420	4.17969	-380.751
2988	qTQFA4A24	141889.58	9570.77	1.81142	207.25	-0.011751	0.290186	683.235	0.151148	3095.22	-0.579624	0.306444	0.00971062	224.356	-0.0235767	16.1981	0.00582697	4.41932	4.27647	-391.339
3051	qTQDD1A25	144866.46	3140.03	-0.619641	245.281	0.0845714	0.364994	90.8641	0.019148	8920.86	1.74606	0.369479	0.0127494	220.973	0.0865419	32.117	-0.00601492	4.51648	4.36390	-403.673
3114	qTQFA4A26	147838.26	9162.52	1.79463	8.05895	-0.00829523	0.166822	24.2746	0.0107106	2940.66	-0.630918	0.328335	0.0139142	492.649	-0.0705144	16.9936	0.00140215	4.60149	4.46874	-419.072
3177	qTQDD1A27	150812.60	2915.96	-0.597909	211.75	0.0116591	0.131281	55.4141	-0.0377325	9412.26	1.75402	0.14735	0.0119909	358.219	0.0911636	5.30552	-0.00573872	4.70537	4.55606	-434.187
3240	qTQFA4A28	153786.94	9068.08	1.69909	184.46	-0.0595121	0.186098	467.642	0.0621287	3251.34	-0.674413	0.208044	0.0145094	632.427	-0.122141	-10.3066	-0.00766801	4.79462	4.65208	-447.807
3303	qTQDD1A29	156763.82	3174.51	-0.684025	626.169	0.129931	0.264138	206.227	-0.0374144	9613.98	1.89807	0.261608	0.0183752	347.587	0.0401446	-28.5652	0.00474556	4.89365	4.73329	-459.123
3367	qTQFA4A32	159735.62	9660.22	1.87821	113.506	0.00790849	0.305434	432.035	0.112207	2944.11	-0.549492	0.331179	0.0220321	481.06	-0.116155	-13.7246	0.000640665	4.97511	4.83273	-466.733
3430	qTQDD1A33	162709.96	3013.56	-0.571374	86.5613	0.0353033	0.35176	38.2215	0.0142828	8773.61	1.67005	0.374853	0.0122368	201.893	-0.00658147	-25.1645	0.00564115	5.07390	4.92347	-472.476
3493	qTQFA4A34	165684.30	8815.12	1.70124	24.631	-0.0231513	0.113458	33.1955	-0.00196718	3068.33	-0.689136	0.202011	0.0131026	217.03	-0.0598744	-8.14299	0.00289767	5.16293	5.02694	-477.118
3556	qTQDD1A35	168661.18	2850.26	-0.616389	375.455	0.0359341	0.157168	109.152	-0.0583555	9958.34	1.8747	0.15531	0.0145525	94.3646	0.00685378	1.08566	0.00310015	5.27056	5.10940	-482.166
